id,DIAC1_2,DIAC1_3,DIAC4_1,DIAC5_1,ANT2_1,CLIM1_3,CLIM2_5,TFV_G11_GROUP,LITH1_1,LITH2_2,LITH4_2,DEM1_1,DEM2_4,DEM4_1
356,0.029,0.141,2.683020812,1.2,0,13.66705471,-14.81481481,Conifères,0.9589852557,0.7761987732,0.2238004414,2121,24,239
361,0.025,0.222,3.027207892,-3,11.02313811,12.89027654,-14.81481481,Conifères,0.6931471808,8.36E-12,0.9999994903,2139,16,199
359,0.047,0.128,2.112110866,-17.6,0,18.60956618,-25,Conifères,0.9479660396,0.2067640879,0.7932329794,2298,25,280
360,0.049,0.625,2.668861378,4.8,30.52752662,17.41958615,-25.86206897,Conifères,0.6931471808,8.36E-12,1.000000526,2349,31,166
620,0.127,1.222,3.791674809,3.4,1198.14913,16.80672269,-16.94915254,Conifères,0.6931471807,8.36E-12,1.000018023,2295,39,295
621,0.209,4.773,2.755910399,7.8,1291.743731,16.30718954,-20.33898305,Conifères,0.6931471808,8.36E-12,1.000001654,2291,37,295
363,0.125,1.645,2.306900121,-9,1289.285768,17.25885827,-21.81818182,Conifères,0.9965792654,0.2953400213,0.7046624519,2304,25,280
364,0.044,-0.372,3.623123994,0.2,846.4894954,11.68576312,-16.66666667,Conifères,0.9339185651,0.1867954327,0.8132055197,2222,27,175
365,0.073,-0.088,3.821151244,28.8,236.4171455,11.2109845,-12.65822785,Conifères,1.005754539,0.3178191026,0.6821823429,2085,39,85
610,0.202,3.529,1.675362149,20,132.6082065,14.10448779,-14.28571429,Conifères,0.6931471807,8.36E-12,0.9999837488,2067,27,278
377,0.128,0.001,2.246465032,28.2,0,1.103975756,-19.44444444,Conifères,0.7228455261,8.35E-12,0.9892370173,2003,18,109
309,0.212,0.941,2.104686438,71.8,253.9042595,10.2865234,-11.11111111,Conifères,0.7514072812,0.02489453107,0.9751063044,2024,35,240
603,0.167,0.369,2.433061218,52.6,1157.022725,19.5442127,-14.49275362,Conifères,0.6931471808,8.35E-12,0.9999984712,2083,28,92
531,0.165,0.301,2.526940964,0.4,0,5.685534591,-22.3880597,Conifères,0.6931471808,8.35E-12,1.000000434,1997,19,111
