id,DIAC1_2,DIAC1_3,DIAC4_1,DIAC5_1,ANT2_1,CLIM1_3,CLIM2_5,TFV_G11_GROUP,LITH1_1,LITH2_2,LITH4_2,DEM1_1,DEM2_4,DEM4_1,geometry,,,,,,,,,
25,0.142,3.352,5.088497953,43,0,16.47777451,-11.68831169,Conifères,0.8515836828,0.096298536,0.9037024249,2111,37,290,list(c(603044.53007913,602584.1462,602712.4024,603172.7862,603044.5301,6166088.582,6166473.351,6166626.812,6166242.044,6166088.58224867))
18,0.033,-0.372,1.945674888,-30.8,693.0467696,16.64787144,-14.08450704,Conifères,1.03473487,0.5704929953,0.4295068293,2175,14,172,list(c(603705.550141643,603905.552,603905.5364,603705.5345,603705.5501,6166295.245,6166295.24,6165695.24,6165695.245,6166295.24532207))
618,0.046,-0.035,1.437796109,-45.4,226.4907253,18.58736059,-24.59016393,Conifères,1.019927747,0.3602481158,0.6397544996,2315,25,272,list(c(608072.806645348,608094.1912,608690.7485,608669.3639,608072.8066,6167680.977,6167879.816,6167815.657,6167616.818,6167680.9770845))
619,0.071,1.042,3.158394231,-10.4,561.0417969,14.21493371,-14.28571429,Conifères,1.01192974,0.3348570751,0.6651428414,2292,31,193,list(c(605108.71617225,605274.5371,604939.0932,604773.2723,605108.7162,6168443.504,6168331.692,6167834.221,6167946.034,6168443.50441437))
357,0.023,0.195,3.348807668,1,0,14.99823882,-18.30985915,Conifères,1.039513143,0.5144071449,0.4855926796,2155,18,206,list(c(607398.076920708,607577.6637,607841.7069,607662.1201,607398.0769,6168040.858,6168128.868,6167590.092,6167502.083,6168040.8576969))
622,0.07,0.822,1.320061183,52.8,1091.834954,13.86268657,-17.1875,Conifères,1.032674223,0.4162581181,0.583734972,2304,26,200,list(c(606391.554883233,606330.9655,605759.1626,605819.752,606391.5549,6169766.584,6169575.986,6169757.757,6169948.355,6169766.58366311))
366,0.034,0.553,4.378398786,0.4,316.8255704,12.00788614,-20.58823529,Conifères,1.035475774,0.5650565486,0.4349409282,2063,16,197,list(c(608694.060052957,608879.639,608655.9499,608470.371,608694.0601,6171334.107,6171259.545,6170702.802,6170777.364,6171334.10702949))
367,0.025,-0.428,4.724096051,-4.6,100.9519293,10.85656103,-18.84057971,Conifères,0.7403079756,0.01905079871,0.9809511145,2258,41,132,list(c(608076.675767708,608240.0158,607893.7548,607730.4147,608076.6758,6171777.1,6171661.677,6171171.671,6171287.095,6171777.09996196))
524,0.106,1.125,10.15466075,180.6,394.133724,11.60132357,-9.009009009,Conifères,0.8205366091,8.35E-12,0.06992890394,1732,38,266,list(c(615304.453355465,615290.7595,615889.3502,615903.0441,615304.4534,6173238.731,6173438.255,6173479.337,6173279.813,6173238.73076337))
308,0.097,0.128,3.302941668,60.2,563.6623523,15.11044177,-13.88888889,Conifères,0.6931471808,8.35E-12,1.00000406,2097,32,91,list(c(593202.472357363,593334.7421,592884.7039,592752.4341,593202.4724,6174532.428,6174382.413,6173985.6,6174135.616,6174532.42837762))
495,0.075,-0.166,1.930804215,26.6,554.083894,15.17741704,-15.27777778,Conifères,0.6931471808,8.35E-12,1.000014136,2002,38,118,list(c(593435.671321942,593526.6872,592992.4244,592901.4085,593435.6713,6174212.702,6174034.612,6173761.559,6173939.649,6174212.70166993))
507,0.201,0.484,3.237997509,-10.8,0,4.53167947,-16.41791045,Conifères,0.9943721546,0.2903333982,0.7096669777,1881,23,104,list(c(602011.304225892,602110.1189,601588.4651,601489.6505,602011.3042,6175319.978,6175146.092,6174849.651,6175023.537,6175319.97820835))
305,0.164,3.068,4.131119223,123.6,1157.284417,18.26741996,-14.49275362,Conifères,0.6931471808,8.36E-12,0.9999985796,1905,30,220,list(c(590469.846345384,590327.4986,590748.9013,590891.249,590469.8463,6176166.229,6176306.677,6176733.777,6176593.329,6176166.22940927))
604,0.094,1.39,1.68168804,222,1247.59643,18.38994565,-14.49275362,Conifères,0.6931471808,8.35E-12,1.000011304,2005,26,245,list(c(591098.824481091,591155.658,590580.4006,590523.5671,591098.8245,6176133.978,6175942.244,6175771.729,6175963.464,6176133.97828538))
